point_id,from,to,volume,coverage,name,lat,lon
17684V2460285,2026-05-06 09:00:00+02:00,2026-05-06 10:00:00+02:00,470,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-06 10:00:00+02:00,2026-05-06 11:00:00+02:00,469,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-06 11:00:00+02:00,2026-05-06 12:00:00+02:00,478,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-06 12:00:00+02:00,2026-05-06 13:00:00+02:00,453,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-06 13:00:00+02:00,2026-05-06 14:00:00+02:00,550,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-06 14:00:00+02:00,2026-05-06 15:00:00+02:00,523,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-06 15:00:00+02:00,2026-05-06 16:00:00+02:00,473,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-06 16:00:00+02:00,2026-05-06 17:00:00+02:00,470,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-06 17:00:00+02:00,2026-05-06 18:00:00+02:00,481,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-06 18:00:00+02:00,2026-05-06 19:00:00+02:00,459,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-06 19:00:00+02:00,2026-05-06 20:00:00+02:00,393,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-06 20:00:00+02:00,2026-05-06 21:00:00+02:00,366,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-06 21:00:00+02:00,2026-05-06 22:00:00+02:00,273,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-06 22:00:00+02:00,2026-05-06 23:00:00+02:00,335,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-06 23:00:00+02:00,2026-05-07 00:00:00+02:00,287,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-07 00:00:00+02:00,2026-05-07 01:00:00+02:00,164,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-05-07 01:00:00+02:00,2026-05-07 02:00:00+02:00,63,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
