point_id,name,lat,lon,from,to,volume,coverage
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-08T22:00:00+02:00,2026-05-08T23:00:00+02:00,967,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-08T23:00:00+02:00,2026-05-09T00:00:00+02:00,558,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T00:00:00+02:00,2026-05-09T01:00:00+02:00,301,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T01:00:00+02:00,2026-05-09T02:00:00+02:00,165,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T02:00:00+02:00,2026-05-09T03:00:00+02:00,68,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T03:00:00+02:00,2026-05-09T04:00:00+02:00,66,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T04:00:00+02:00,2026-05-09T05:00:00+02:00,72,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T05:00:00+02:00,2026-05-09T06:00:00+02:00,104,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T06:00:00+02:00,2026-05-09T07:00:00+02:00,233,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T07:00:00+02:00,2026-05-09T08:00:00+02:00,589,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T08:00:00+02:00,2026-05-09T09:00:00+02:00,1046,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T09:00:00+02:00,2026-05-09T10:00:00+02:00,1502,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T10:00:00+02:00,2026-05-09T11:00:00+02:00,2106,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T11:00:00+02:00,2026-05-09T12:00:00+02:00,2657,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T12:00:00+02:00,2026-05-09T13:00:00+02:00,2812,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T13:00:00+02:00,2026-05-09T14:00:00+02:00,2874,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T14:00:00+02:00,2026-05-09T15:00:00+02:00,2857,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T15:00:00+02:00,2026-05-09T16:00:00+02:00,2599,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T16:00:00+02:00,2026-05-09T17:00:00+02:00,2444,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T17:00:00+02:00,2026-05-09T18:00:00+02:00,2332,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T18:00:00+02:00,2026-05-09T19:00:00+02:00,1950,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T19:00:00+02:00,2026-05-09T20:00:00+02:00,1224,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T20:00:00+02:00,2026-05-09T21:00:00+02:00,913,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T21:00:00+02:00,2026-05-09T22:00:00+02:00,1445,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T22:00:00+02:00,2026-05-09T23:00:00+02:00,770,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-09T23:00:00+02:00,2026-05-10T00:00:00+02:00,528,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-10T00:00:00+02:00,2026-05-10T01:00:00+02:00,316,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-10T01:00:00+02:00,2026-05-10T02:00:00+02:00,222,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-10T02:00:00+02:00,2026-05-10T03:00:00+02:00,117,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-10T03:00:00+02:00,2026-05-10T04:00:00+02:00,100,100.0
99000V625405,Smestad Tunnell,59.939456,10.689073,2026-05-10T04:00:00+02:00,2026-05-10T05:00:00+02:00,107,100.0
