point_id,from,to,volume,coverage,name,lat,lon
17684V2460285,2026-04-11 22:00:00+02:00,2026-04-11 23:00:00+02:00,406,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-04-11 23:00:00+02:00,2026-04-12 00:00:00+02:00,406,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-04-12 00:00:00+02:00,2026-04-12 01:00:00+02:00,309,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-04-12 01:00:00+02:00,2026-04-12 02:00:00+02:00,279,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-04-12 02:00:00+02:00,2026-04-12 03:00:00+02:00,261,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-04-12 03:00:00+02:00,2026-04-12 04:00:00+02:00,243,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-04-12 04:00:00+02:00,2026-04-12 05:00:00+02:00,123,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-04-12 05:00:00+02:00,2026-04-12 06:00:00+02:00,92,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-04-12 06:00:00+02:00,2026-04-12 07:00:00+02:00,69,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-04-12 07:00:00+02:00,2026-04-12 08:00:00+02:00,125,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-04-12 08:00:00+02:00,2026-04-12 09:00:00+02:00,140,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-04-12 09:00:00+02:00,2026-04-12 10:00:00+02:00,185,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-04-12 10:00:00+02:00,2026-04-12 11:00:00+02:00,289,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-04-12 11:00:00+02:00,2026-04-12 12:00:00+02:00,401,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-04-12 12:00:00+02:00,2026-04-12 13:00:00+02:00,415,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
17684V2460285,2026-04-12 13:00:00+02:00,2026-04-12 14:00:00+02:00,475,100.0,Dr. Eufemias Gt. Vestgående Datter,59.908734,10.754618
