point_id,name,lat,lon,from,to,volume,coverage
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-08T22:00:00+02:00,2026-05-08T23:00:00+02:00,208,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-08T23:00:00+02:00,2026-05-09T00:00:00+02:00,139,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T00:00:00+02:00,2026-05-09T01:00:00+02:00,89,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T01:00:00+02:00,2026-05-09T02:00:00+02:00,42,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T02:00:00+02:00,2026-05-09T03:00:00+02:00,31,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T03:00:00+02:00,2026-05-09T04:00:00+02:00,32,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T04:00:00+02:00,2026-05-09T05:00:00+02:00,24,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T05:00:00+02:00,2026-05-09T06:00:00+02:00,39,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T06:00:00+02:00,2026-05-09T07:00:00+02:00,79,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T07:00:00+02:00,2026-05-09T08:00:00+02:00,115,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T08:00:00+02:00,2026-05-09T09:00:00+02:00,191,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T09:00:00+02:00,2026-05-09T10:00:00+02:00,342,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T10:00:00+02:00,2026-05-09T11:00:00+02:00,381,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T11:00:00+02:00,2026-05-09T12:00:00+02:00,303,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T12:00:00+02:00,2026-05-09T13:00:00+02:00,332,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T13:00:00+02:00,2026-05-09T14:00:00+02:00,356,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T14:00:00+02:00,2026-05-09T15:00:00+02:00,366,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T15:00:00+02:00,2026-05-09T16:00:00+02:00,374,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T16:00:00+02:00,2026-05-09T17:00:00+02:00,372,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T17:00:00+02:00,2026-05-09T18:00:00+02:00,425,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T18:00:00+02:00,2026-05-09T19:00:00+02:00,311,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T19:00:00+02:00,2026-05-09T20:00:00+02:00,310,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T20:00:00+02:00,2026-05-09T21:00:00+02:00,238,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T21:00:00+02:00,2026-05-09T22:00:00+02:00,267,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T22:00:00+02:00,2026-05-09T23:00:00+02:00,211,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-09T23:00:00+02:00,2026-05-10T00:00:00+02:00,161,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-10T00:00:00+02:00,2026-05-10T01:00:00+02:00,104,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-10T01:00:00+02:00,2026-05-10T02:00:00+02:00,63,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-10T02:00:00+02:00,2026-05-10T03:00:00+02:00,54,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-10T03:00:00+02:00,2026-05-10T04:00:00+02:00,52,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-10T04:00:00+02:00,2026-05-10T05:00:00+02:00,51,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-10T05:00:00+02:00,2026-05-10T06:00:00+02:00,33,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-10T06:00:00+02:00,2026-05-10T07:00:00+02:00,52,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-10T07:00:00+02:00,2026-05-10T08:00:00+02:00,82,100.0
41058V625448,Smestad tunnel nordgående - rampe på,59.939332,10.689224,2026-05-10T08:00:00+02:00,2026-05-10T09:00:00+02:00,122,100.0
